simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
8,Beverton-Holt,alpha,5.1,Beverton-Holt,6.67,3.46,9.85,1.01,30.784313725490204,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.67,0.11,344.53,10047.1
8,Beverton-Holt,sigma,0.1,Beverton-Holt,0.11,0.09,0.14,1.002,9.999999999999995,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.67,0.11,344.53,10047.1
8,Ricker,K,10000,Beverton-Holt,16689.05,1138.74,188848.45,1.006,66.89049999999999,17.884133894980142,5.1,0.1,1928.814402774944,10000,4.94,16.24,1186.72,16689.05
8,Ricker,Smsy,1928.814402774944,Beverton-Holt,1186.72,39.25,30477.1,1.005,-38.47412180805518,17.884133894980142,5.1,0.1,1928.814402774944,10000,4.94,16.24,1186.72,16689.05
8,Ricker,alpha,5.1,Beverton-Holt,4.94,0.24,9.75,1.006,-3.13725490196077,17.884133894980142,5.1,0.1,1928.814402774944,10000,4.94,16.24,1186.72,16689.05
8,Ricker,sigma,0.1,Beverton-Holt,16.24,12.44,22.55,1.01,16139.999999999996,17.884133894980142,5.1,0.1,1928.814402774944,10000,4.94,16.24,1186.72,16689.05
8,Beverton-Holt,K,10000,Ricker,9619.88,9168.39,10173.9,1,-3.801200000000008,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3700.24,9619.88
8,Beverton-Holt,Smsy,724.2648536151773,Ricker,3700.24,3465.34,3985.54,1,410.89597700761044,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3700.24,9619.88
8,Beverton-Holt,alpha,5.1,Ricker,1.67,1.51,1.83,1.001,-67.25490196078432,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3700.24,9619.88
8,Beverton-Holt,sigma,0.1,Ricker,0.19,0.15,0.24,1,90,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3700.24,9619.88
8,Ricker,K,10000,Ricker,9947.86,9846.17,10051.3,1,-0.5213999999999942,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.49,9947.86
8,Ricker,Smsy,1928.814402774944,Ricker,1926.49,1921.41,1931.6,1,-0.1205094057572336,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.49,9947.86
8,Ricker,alpha,5.1,Ricker,5.08,5.02,5.14,1,-0.3921568627450897,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.49,9947.86
8,Ricker,sigma,0.1,Ricker,0.12,0.09,0.16,1,19.99999999999999,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.49,9947.86
9,Beverton-Holt,K,10000,Beverton-Holt,10037.3,9669.25,10451.6,1.001,0.3729999999999927,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.7,0.11,338.75,10037.3
9,Beverton-Holt,Smsy,724.2648536151773,Beverton-Holt,338.75,72.76,1340.95,1.001,-53.22843593622899,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.7,0.11,338.75,10037.3
9,Beverton-Holt,alpha,5.1,Beverton-Holt,6.7,3.78,9.84,1.001,31.372549019607856,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.7,0.11,338.75,10037.3
9,Beverton-Holt,sigma,0.1,Beverton-Holt,0.11,0.09,0.15,1.001,9.999999999999995,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.7,0.11,338.75,10037.3
9,Ricker,K,10000,Beverton-Holt,15948.7,1381.04,201940.52,1.005,59.48700000000001,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.04,16.3,1124.17,15948.7
9,Ricker,Smsy,1928.814402774944,Beverton-Holt,1124.17,45.14,30662.34,1.004,-41.71704657624494,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.04,16.3,1124.17,15948.7
9,Ricker,alpha,5.1,Beverton-Holt,5.04,0.28,9.69,1.005,-1.1764705882352866,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.04,16.3,1124.17,15948.7
9,Ricker,sigma,0.1,Beverton-Holt,16.3,12.53,22.3,1.003,16200,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.04,16.3,1124.17,15948.7
9,Beverton-Holt,K,10000,Ricker,9627.01,9176.05,10158,1,-3.729899999999998,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.18,3701.55,9627.01
9,Beverton-Holt,Smsy,724.2648536151773,Ricker,3701.55,3466.02,3984.16,1.001,411.0768500671634,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.18,3701.55,9627.01
9,Beverton-Holt,alpha,5.1,Ricker,1.67,1.5,1.83,1.002,-67.25490196078432,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.18,3701.55,9627.01
9,Beverton-Holt,sigma,0.1,Ricker,0.18,0.15,0.24,1.001,79.99999999999999,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.18,3701.55,9627.01
