simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,b_cov,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
9,Beverton-Holt,b_cov,0.9702580458624804,Beverton-Holt,1.03,0.7,1.4,1.009,6.1573263311013156,272.06659800425143,1.2922604841237084,0.3483571836214444,0.9702580458624804,3280.100643558405,9539,1.39,0.32,2841.4,8521.76
9,Beverton-Holt,sigma,0.3483571836214444,Beverton-Holt,0.32,0.25,0.41,1.001,-8.140260903090725,272.06659800425143,1.2922604841237084,0.3483571836214444,0.9702580458624804,3280.100643558405,9539,1.39,0.32,2841.4,8521.76
9,Beverton-Holt,K,9539,Ricker,21081.4,15801.38,32290.46,1.001,121.00220148862567,272.06659800425143,1.2922604841237084,0.3483571836214444,0.9702580458624804,3280.100643558405,9539,0.93,0.38,9210.1,21081.4
9,Beverton-Holt,Smsy,3280.100643558405,Ricker,9210.1,6940.62,14235.61,1.001,180.78711603216107,272.06659800425143,1.2922604841237084,0.3483571836214444,0.9702580458624804,3280.100643558405,9539,0.93,0.38,9210.1,21081.4
9,Beverton-Holt,alpha,1.2922604841237084,Ricker,0.93,0.77,1.09,1.001,-28.033085324075348,272.06659800425143,1.2922604841237084,0.3483571836214444,0.9702580458624804,3280.100643558405,9539,0.93,0.38,9210.1,21081.4
9,Beverton-Holt,b_cov,0.9702580458624804,Ricker,0.61,0.4,0.82,1.001,-37.13012712429922,272.06659800425143,1.2922604841237084,0.3483571836214444,0.9702580458624804,3280.100643558405,9539,0.93,0.38,9210.1,21081.4
9,Beverton-Holt,sigma,0.3483571836214444,Ricker,0.38,0.31,0.49,1.001,9.083440177579764,272.06659800425143,1.2922604841237084,0.3483571836214444,0.9702580458624804,3280.100643558405,9539,0.93,0.38,9210.1,21081.4
10,Beverton-Holt,K,8971,Beverton-Holt,10779.55,6180.54,22954.1,1.002,20.159959870694454,1370.7257549503818,1.3712979131238365,0.9415686325554988,0.3229530321969079,3005.3000933378403,8971,3.72,1.3,1387.93,10779.55
10,Beverton-Holt,Smsy,3005.3000933378403,Beverton-Holt,1387.93,76.46,8156.84,1.003,-53.81725761507917,1370.7257549503818,1.3712979131238365,0.9415686325554988,0.3229530321969079,3005.3000933378403,8971,3.72,1.3,1387.93,10779.55
10,Beverton-Holt,alpha,1.3712979131238365,Beverton-Holt,3.72,0.58,9.67,1.003,171.27584490563297,1370.7257549503818,1.3712979131238365,0.9415686325554988,0.3229530321969079,3005.3000933378403,8971,3.72,1.3,1387.93,10779.55
10,Beverton-Holt,b_cov,0.3229530321969079,Beverton-Holt,0.22,-0.45,0.9,1,-31.87863928589354,1370.7257549503818,1.3712979131238365,0.9415686325554988,0.3229530321969079,3005.3000933378403,8971,3.72,1.3,1387.93,10779.55
10,Beverton-Holt,sigma,0.9415686325554988,Beverton-Holt,1.3,1,1.76,1.001,38.067471138209804,1370.7257549503818,1.3712979131238365,0.9415686325554988,0.3229530321969079,3005.3000933378403,8971,3.72,1.3,1387.93,10779.55
10,Beverton-Holt,K,8971,Ricker,15059.95,7828.59,23975.98,1.001,67.87370415784194,1370.7257549503818,1.3712979131238365,0.9415686325554988,0.3229530321969079,3005.3000933378403,8971,1.06,1.22,6359.52,15059.95
10,Beverton-Holt,Smsy,3005.3000933378403,Ricker,6359.52,3632.61,10055.23,1.001,111.61014882000657,1370.7257549503818,1.3712979131238365,0.9415686325554988,0.3229530321969079,3005.3000933378403,8971,1.06,1.22,6359.52,15059.95
10,Beverton-Holt,alpha,1.3712979131238365,Ricker,1.06,0.4,1.72,1.001,-22.700968924738998,1370.7257549503818,1.3712979131238365,0.9415686325554988,0.3229530321969079,3005.3000933378403,8971,1.06,1.22,6359.52,15059.95
10,Beverton-Holt,b_cov,0.3229530321969079,Ricker,0.28,-0.38,0.91,1.001,-13.3000863638645,1370.7257549503818,1.3712979131238365,0.9415686325554988,0.3229530321969079,3005.3000933378403,8971,1.06,1.22,6359.52,15059.95
10,Beverton-Holt,sigma,0.9415686325554988,Ricker,1.22,0.94,1.67,1,29.571011375858422,1370.7257549503818,1.3712979131238365,0.9415686325554988,0.3229530321969079,3005.3000933378403,8971,1.06,1.22,6359.52,15059.95
