simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
69,Ricker,Smsy,4244.866654594342,Ricker,4351.55,526.9,16178.77,1.003,2.51323195959975,0.20338782921284193,1.4376254416695546,4244.866654594342,8715,0.4,1.27,4351.55,9335.79
69,Ricker,alpha,0.20338782921284193,Ricker,0.4,0.03,0.95,1.008,96.66860182740176,0.20338782921284193,1.4376254416695546,4244.866654594342,8715,0.4,1.27,4351.55,9335.79
69,Ricker,sigma,1.4376254416695546,Ricker,1.27,1,1.68,1.008,-11.659882804723217,0.20338782921284193,1.4376254416695546,4244.866654594342,8715,0.4,1.27,4351.55,9335.79
70,Ricker,K,9403,Beverton-Holt,7423.66,4256.82,13330.25,1.005,-21.05009039668191,1.308304932272739,0.9947704139422638,3862.409261400668,9403,5.92,1.72,362.33,7423.66
70,Ricker,Smsy,3862.409261400668,Beverton-Holt,362.33,48.78,2835.38,1.008,-90.61906764720722,1.308304932272739,0.9947704139422638,3862.409261400668,9403,5.92,1.72,362.33,7423.66
70,Ricker,alpha,1.308304932272739,Beverton-Holt,5.92,1.59,9.78,1.001,352.49389908788277,1.308304932272739,0.9947704139422638,3862.409261400668,9403,5.92,1.72,362.33,7423.66
70,Ricker,sigma,0.9947704139422638,Beverton-Holt,1.72,1.4,2.19,1.001,72.90421748508376,1.308304932272739,0.9947704139422638,3862.409261400668,9403,5.92,1.72,362.33,7423.66
70,Ricker,K,9403,Ricker,10727.98,7721.37,13737.17,1.001,14.09103477613527,1.308304932272739,0.9947704139422638,3862.409261400668,9403,1.46,1.25,4266.28,10727.98
70,Ricker,Smsy,3862.409261400668,Ricker,4266.28,3327.29,5211.78,1,10.456445996944185,1.308304932272739,0.9947704139422638,3862.409261400668,9403,1.46,1.25,4266.28,10727.98
70,Ricker,alpha,1.308304932272739,Ricker,1.46,0.96,1.98,1.001,11.594779166944054,1.308304932272739,0.9947704139422638,3862.409261400668,9403,1.46,1.25,4266.28,10727.98
70,Ricker,sigma,0.9947704139422638,Ricker,1.25,1.02,1.59,1,25.657134800206233,1.308304932272739,0.9947704139422638,3862.409261400668,9403,1.46,1.25,4266.28,10727.98
71,Beverton-Holt,K,8874,Beverton-Holt,8385.89,6714.35,11798,1.005,-5.500450755014656,1.2723208810875744,0.3356904610718925,3071.424439096339,8874,1.11,0.36,3049.03,8385.89
71,Beverton-Holt,Smsy,3071.424439096339,Beverton-Holt,3049.03,2152.83,4674.26,1.006,-0.7291222538727868,1.2723208810875744,0.3356904610718925,3071.424439096339,8874,1.11,0.36,3049.03,8385.89
71,Beverton-Holt,alpha,1.2723208810875744,Beverton-Holt,1.11,0.73,1.64,1.004,-12.757857196277644,1.2723208810875744,0.3356904610718925,3071.424439096339,8874,1.11,0.36,3049.03,8385.89
71,Beverton-Holt,sigma,0.3356904610718925,Beverton-Holt,0.36,0.29,0.45,1.001,7.241653173725807,1.2723208810875744,0.3356904610718925,3071.424439096339,8874,1.11,0.36,3049.03,8385.89
71,Beverton-Holt,K,8874,Ricker,7998.03,6776.12,10712.08,1.008,-9.871196754563897,1.2723208810875744,0.3356904610718925,3071.424439096339,8874,0.93,0.35,3497.74,7998.03
71,Beverton-Holt,Smsy,3071.424439096339,Ricker,3497.74,2924.47,4816.84,1.009,13.880060192172248,1.2723208810875744,0.3356904610718925,3071.424439096339,8874,0.93,0.35,3497.74,7998.03
